company_name,date,country,revenue,industry,data volume,Data Type - None,Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type - Personal Information,Data Type - Government Information,Data Type - Medical Information
R.C. Moore Trucking,2024-01-23,United States,53,Logistics & Transportation,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibser Yamauchi Architects,2024-05-08,United States,16,Architecture,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Mountain Sales,2024-04-26,United States,5,Sales & Distribution,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project M.O.R.E.,2024-05-08,United States,7,Non-Profit,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harper Industries,2024-06-11,United States,20,Manufacturing,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOYA Corporation,2024-07-16,Japan,5600,Healthcare,0,0,2,0,0,0,4,1,0,3,2,0,0,0,0,0,0,0,0,1
Pella,2024-05-10,United States,3800,Manufacturing,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acteon Group,2024-06-17,France,200,Medical Devices,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Frederick Wildman and Sons,2024-05-10,United States,22,Wine & Spirits Distribution,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carigali Hess Operating Company,2024-07-14,Malaysia,30,Energy & Utilities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibbs Hurley Chartered Accountants,2024-07-15,Australia,5,Accounting Services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navitas Semiconductor,2024-08-30,Ireland,100,Semiconductors,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legrand CRM,2024-06-15,Australia,7,CRM Software,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARK Material Handling Company,2024-03-26,United States,50,Manufacturing & Machinery,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Oil & Gas,2024-08-07,United States,,Energy & Oil,164,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Sting AD,2024-03-20,Bulgaria,350,Advertising,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Schuster Trucking Company,2024-03-16,United States,68,Logistics & Transportation,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priefert,2024-07-29,United States,240,Agriculture,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Communication Federal Credit Union,2024-02-14,United States,49,Financial Services,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kreyenhop & Kluge,2024-03-16,Germany,7,Food & Beverage Distribution,438,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NanoLumens,2024-04-13,United States,18,Technology & Displays,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T A Khoury,2024-04-09,Australia,5,Real Estate,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
