company_name,address,date_of_attack,revenue,industry ,data_volume,data_description
AMERICOLD LOGISTICS LLC,"South Tower 10 Glenlake Pkwy Ste 600, Atlanta, Georgia, 30328, United States",01.07.2023,$66.1M,Transportation & Logistics,25 GB,Accounting
DEMOS GROUP,"1 Parvis De La Defense, Nanterre, Ile-de-France, 92000, France",07.08.2024,$37.5M,Professional Training and Coaching,870 GB,"Personal identifiable information, corporate confidential data, NDA, contracts, employees and executives personal files, financial documents\statements, customer information, corporate correspondence, etc."
QOSINA,"2002q Orville Dr N, Ronkonkoma, New York, 11779, United States",26.03.2024,$37.9M,Medical device manufacturer,375 GB,"Financial documents, employee and executive managers personal data, engineering documents and drawings, QA data, customer information, contracts, etc."
AT WORK,"200 Adelaide St S, London, Ontario, N5Z 3L1, Canada",22.12.2023,$33.4M,Furniture Retail,189 GB,"Clients, Finance, HR"
BEST TRANSPORTATION,"263 Distribution St, Newark, New Jersey, 07114, United States",15.04.2024,$24.8M,Transporation company,24 GB,"Employees and executives personal folders, financial statements, payroll data, customer agreements, etc."
CHAMPEAU,"491 Rte 253, Saint Malo, Quebec, J0B 2Y0, Canada",16.09.2024,$25.5M,Building Materials,130 GB,"Personal Identifiable Information, employees\executives personal data, engineering documents\projects\drawings, customer information, financial documents, corporate correspondence, etc."
SIMSON MAXWELL,"467 Exploration Ave SE, Calgary, Alberta, T3S 0B4, Canada",10.09.2024,$29.4M,Industrial Machinery & Equipment,357 GB,"Personal Identifiable Information, Employees personal and corporate data, customer information, contracts, projects, drawings, financial documents, corporate and personal correspondence, etc."
CTS,"18f-6 no.79 Sec.1 Xintai 5th Rd, Xizhi Dist., New Taipei City, 221, Taiwan",21.06.2024,$11.8M,Cable & Satellite,93 GB,"Corporate confidential data, engineering documents, financial data, customer information, personal identification documents, database backups, etc."
SOFIDEL,"23 Via Lazzareschi, Porcari, Tuscany, 55016, Italy",09.07.2024,$66.1M,Manufacturing,74 GB,"Personal identifiable information, financial documents, employees and executives personal files, customer information, corporate correspondence, etc."
CLESHAR,"Heather Park House N Circular Rd, London, Greater London, NW10 7NN, United Kingdom",21.03.2024,$239.3M,UK railway contractor,1 TB,"Accounting\treasury\taxes 40GB+, HR - payrolls\personal documents\dossiers 110GB+, Customer data - projects\contracts\drawings 130GB+, Engineering\R&amp;D\QA, Legal documents 3GB+, corporate correspondence 120GB+, employees' personal folders, database exports\backups... Thousands of financial documents, employees background reports including Personal Identifying information, contracts and tenders, executive directors personal and corporate data, engineering database exports and much more."
MIHLFELD,"2841 E Division St, Springfield, Missouri, 65803, United States",28.08.2024,$88.2M,Freight & Logistics Services,316 GB,"Employees personal and corporate data, Personal Identifiable Information, financial documents, customer information, contracts, corporate and personal correspondence, etc."
LABERGE TRANSPORT,"1050 Norman St, Lasalle, Quebec, H8S 1A5, Canada",10.07.2024,$27.8M,"Transportation, Logistics",110 GB,"Employees personal and corporate data, Personal Identifiable Information, financial documents, customer information, corporate and personal correspondence, database exports, etc."
TIBA IT SERVICES,"Jardines Universidad, Zapopan, Jalisco, 45110, Mexico",28.08.2024,$124.3M,Data Collection & Internet Portals,29 GB,"Personal Identifiable Information, employees and executives personal and corporate data, financial documents, contracts, corporate correspondence, etc."
DAYSTAR,"121 Shattuck Way Ste 10, Portsmouth, New Hampshire, 03801, United States",07.07.2024,$120.3M,Television Network,125 GB,"Personal identifiable information, corporate confidential documents, financial data, personnel information, employees personal files, legal documents, corporate correspondence, etc."
AMMEGA,"8 Comeniusstraat, Alkmaar, North Holland, 1817 MS, Netherlands",21.04.2024,$66.1M,Belting Production Holding,3 TB,"Accounting\treasury\taxes 250GB+, HR - payrolls\personal documents\dossiers 150GB+, Customer data - projects\contracts\drawings 100GB+, Engineering\R&amp;D\QA 250GB+, Legal documents, corporate correspondence 100GB+, employees' personal folders... Lots of corporate confidential data, employees Personal Identifying information, executive managers personal data, legal documents including lawsuits, contracts, etc.&nbsp;"
WARDLOW CLAIMS SERVICE,"2725 Texas Central Pkwy, Waco, Texas, 76712, United States",21.12.2023,$30.3M,Finance & Insurance,48 GB,"Accounting, Human Resources"
PROMOTRANS,"12 Rue Cabanis, Paris, Île-de-france, 75014, France",24.12.2023,$40.8M,Transportation & Logistics,435 GB,"Internal Data, Budget"
PEACOCK BROS PTY LTD,"11-13 Stamford Rd, Oakleigh, Victoria, 3166, Australia",20.12.2023,$19.8M,IT and Software Solutions,25 GB,"Accounting, UserData"
NEWAGESYS,"4390 Us-1 Ste 110, Princeton, New Jersey, 08540, United States",28.03.2024,$24.1M,Business consulting,319 GB,"Accounting\payroll\tax documents, HR data, Personal Identifying information, background reports, corporate correspondence\mailbox backups, employees personal folders, etc."
DTS,"100 Augusta Arbor Way, Greenville, South Carolina, 29605, United States",28.01.2024,$31.1M,Transportation & Logistics,2.4 TB,N/A
LEONARD'S,"4601 Nancy St, Detroit, Michigan, 48212,, United States",05.08.2024,$22M,Food & Beverage,575 GB,"Employees personal and corporate data, Personal Identifiable Information, accounting, financial documents, customer data, contracts, corporate correspondence, database exports etc."
RICOR GLOBAL LIMITED,"Arrow Works Birmingham Rd, Studley, West Midlands, B80 7AS, United Kingdom",18.12.2023,$29.5M,Manufacturing,248 GB,"Accounting, HR, Finance, Sales, Corporate Data"
CHUBB BULLEID,"10 Leigh Rd, Street, Somerset, BA16 0HA, United Kingdom",05.08.2024,$14M,Law Firms & Legal Services,362 GB,"Personal identifiable information, customer confidential information, litigation documents, corporate confidential data, NDA, contracts, employees and executives personal files, financial documents\statements, corporate correspondence, etc."
MCPHILLIPS,"Horton House Hortonwood 50, Telford, Shropshire, TF1 7FG, United Kingdom",10.09.2024,$40.8M,Commercial & Residential Construction,1.2 TB,"Personal Identifiable Information, customer information, engineering data\drawings\projects, employees\executives personal data, financial documents, contracts, corporate correspondence, etc."
DENKAI AMERICA,"8 John St, Hoosick Falls, New York, 12090, United States",05.08.2024,$18.1M,Manufacturing,80 GB,"Personal identifiable information, corporate confidential data, customers data, contracts, employees and executives personal files, financial documents\statements, corporate correspondence, etc."
"BACON UNIVERSAL COMPANY, INC.","918 Ahua St, Honolulu, Hawaii, 96819, United States",09.09.2023,$24.9M,Construction,28 GB,"Accounting, HR, Finance, UserData"
ROTOMAIL ITALIA SPA,"12/ab Strada Rivoltana Sp 14, Vignate, Lombardy, 20060, Italy",01.07.2023,$57M,IT and Software Solutions,8 GB,"Client data, Accounting, Contracts"
BIOCAIR,"Iconix One London Sawston Rd, Cambridge, Cambridgeshire, CB22 3EG, United Kingdom",01.07.2023,$152.3M,Biotechnology,92 GB,"Accounting, Directors, Human Resources"
CORNERSTONE PROJECTS GROUP,"4770 Bryant Irvin Ct Ste 200, Fort Worth, Texas, 76107, United States",19.12.2023,$9M,Construction,102 GB,"Accounting, Projects"
RANGER AMERICAN,"605 Marginal Lodi 65, San Juan, Puerto Rico, 00929, United States",10.09.2024,$52.9M,"Automobile Dealers, Security Services",218 GB,"Personal Identifiable Information, customer info, contracts, employees\executives personal and corporate data, accounting\payroll, corporate correspondence, etc."
COOP,"4 Englundavägen, Solna, 171 41, Sweden",12.01.2024,$66.1M,Food Services,257 GB,N/A
HI - CONE,"1140 W Bryn Mawr Ave, Itasca, Illinois, 60143, United States",29.01.2024,$27M,Food Services,650 GB,N/A
RIOMARINE INC,"5301 Polk St Bldg 12, Houston, Texas, 77023, United States",16.09.2024,$56M,Marine,490 GB,"Personal Identifiable Information, employees\executives personal data, engineering data\drawings\projects, customer information, financial documents, contracts, corporate correspondence, database backups etc."
STA,"10 Commerce Dr, Gaffney, South Carolina, 29340, United States",30.06.2024,$71.3M,Manufacturing,278 GB,"Personal identification documents, corporate data, drawings, financial documents, supplier\customer information, employee personal data, corporate and personal correspondence, etc."
JSS ALMONDS,"5600 Norris Rd, Bakersfield, California, 93308, United States",22.12.2023,$11.8M,Agriculture,350 GB,"Accounting, Docs"
UNIMARKETING,"102-1051 Talbot Blvd, Chicoutimi, Quebec, G7H 4B5, Canada",01.10.2023,$17.7M,Food Services,270 GB,Corporate Date
WESTERN WYOMING BEVERAGES,"PO Box 1336, Rock Springs, Wyoming, 82902, United States",05.08.2024,$59.2M,Grocery Retail,102 GB,"Database exports, Employee personal files, personal Identifiable Information, financial data, customer data, contracts, corporate correspondence, etc."
DAHL VALVE LIMITED,"2600 S Sheridan Way, Mississauga, Ontario, L5J 2M4, Canada",05.08.2024,$23.9M,Building Materials,80 GB,"Personal identifiable information, corporate confidential data, agreements, contracts, engineering data\drawings\projects, employees and executives personal files, financial documents\statements, corporate correspondence, database backups etc."
UNITEX HEALTHCARE LAUNDRY SERVICES,"565 Taxter Rd Ste 620, Elmsford, New York, 10523, United States",18.12.2023,$288.5M,Healthcare,134 GB,"Accounting, Sales"
SANYOSHOKAI,"6-14 Yotsuyahonshio-cho, Honshiocho, Tokyo, 160-0003, Japan",21.06.2024,$412.6M,Apparel & Accessories Retail,248 GB,"Personal identifying information, financial documents, customer data, engineering information, employee\executives personal files, corporate correspondence, etc."
ACFIN,"82 Av. El Gold Piso 9, Santiago, Santiago Metropolitan, Chile",19.05.2024,$25.1M,Finance,460 GB,"Client confidential data - agreements\reports etc., Personal identification Information (passports, DL, etc), financial statements\reports, executives personal data, security officer private photos and files, etc."
DBM GROUP,"300 Commerce Ste 200, Irvine, California, 92602, United States",28.12.2023,$43.6M,Business Services,2.4 TB,N/A
