company_name,date_of_attack,revenue,data_volume,country,industry,Data Type - Databases,Data type - Applications,Data Type - Emails,Data Type - Source Code,Data Type- Designs,Data Type - Financial Information,Data Type -Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type -  Government Information,Data Type - Medical Information,Data Type - Personal Information,Data Type - Others,attacker
"Law Offices of Michael J Gurfinkel, Inc",11/9/2024,5,,United States,Law,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
"Wayne Wright, LLP.",28/8/2024,5,,United States,Law,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,bianlian
Stein Fibers,10/9/2024,100,707,United States,Manufacturing,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,bianlian
B&B Electric Inc,18/4/2024,40,750,United States,Construction,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
Sherr Puttmann Akins Lamb PC,17/9/2024,5,,United States,Law,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,bianlian
Affiliated Dermatologists and Dermatologic Surgeons,29/5/2024,N/A,,United States,Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Cislo & Thomas LLP,25/1/2024,7,3072,United States,Law,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,bianlian
Transit Mutual Insurance Corporation,3/7/2024,2,,United States,Finance,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,bianlian
Akumin,3/2/2024,800,5120,United States,Healthcare,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,bianlian
Lindsay Municipal Hospital,8/3/2024,13,,United States,Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Law Office of Michael H Joseph,15/2/2024,5,1945.6,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,bianlian
J.P. Original,21/2/2024,9,1228.8,United States,Retail,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,bianlian
Fish Nelson & Holden,26/8/2024,5,,United States,Law,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,bianlian
Donear Industries,3/2/2024,71,3584,India,Manufacturing,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
"Hypertension Nephrology Associates, P.C.",7/3/2024,5,506,United States,Healthcare,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,bianlian
Scott Pharma Solutions,27/8/2024,5,,United States,Healthcare,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bianlian
ASI,27/6/2024,370,,United States,IT Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Pavilion Construction LLC,29/5/2024,N/A,,United States,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
US Dermatology Partners,17/8/2024,210,,United States,Healthcare,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,bianlian
Augusta Orthopedic,23/7/2024,10,,United States,Healthcare,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,bianlian
Dr. Leeman ENT,26/3/2024,5,480,United States,Healthcare,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Keya Accounting and Tax Services LLC,6/9/2024,5,,United States,Finance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,bianlian
M.Royo & KlockMetal,27/8/2024,5,,Argentina,Manufacturing,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,bianlian
Azteca Tax Systems,20/5/2024,5,484,United States,Finance,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Payne & Jones,25/6/2024,7.2,1689.6,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,bianlian
GROWTH by NCRC,26/4/2024,5,830,United States,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,bianlian
Shoma group,13/3/2024,20,2048,United States,Finance,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
"Republic Shipping Consolidators, Inc",8/1/2024,5,117,United States,Transportation & Logistics,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,bianlian
Better Business Bureau,25/8/2024,400,,United States,Non-Profit,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
"Karvo Companies, Inc.",18/8/2024,6,,United States,contracting,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,bianlian
Commonwealth Capital,2/2/2024,91.1,2048,Singapore,Finance,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,bianlian
"Independent Recovery Resources, Inc.",7/1/2024,5,1126.4,United States,Finance,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,bianlian
Nutec Group,31/5/2024,54.1,,United States,Manufacturing,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
CTSI,9/2/2024,7.9,978,United States,Business Services,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
"Legend Properties, Inc.",3/7/2024,29,,United States,Finance,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,bianlian
Dordt University,2/7/2024,36.2,3072,United States,Education,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,bianlian
Playa Vista Job Opportunities and Business Services,16/8/2024,5,950,United States,recruitment,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Air Sino-Euro Associates Travel Pte. Ltd,2/2/2024,21.8,736,Singapore,Hospitality,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,bianlian
Western Saw Inc.,2/6/2024,19,,United States,Construction,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,bianlian
"Martin's, Inc.",26/3/2024,30,1433.6,United States,Food & Beverage,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,bianlian
Advantage Orthopedic & Sports Medicine Clinic,27/2/2024,5,600,United States,Healthcare,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,bianlian
"Palmer Construction Co., Inc",7/3/2024,13,,United States,Construction,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,bianlian
Tandem,13/2/2024,5,2150.4,United States,Design,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Accelon Technologies Private,16/8/2024,7.1,480,India,IT Services,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
Bunkhouse Group,30/8/2024,11,2764.8,United States,Hospitality,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,bianlian
Sable International,19/8/2024,7,,United Kingdom,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,bianlian
Dragon Tax and Management INC,20/5/2024,5,334,United States,Finance,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Bay Orthopedic & Rehabilitation Supply,10/2/2024,5,400,United States,Transportation & Logistics,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,bianlian
Insula Group,18/7/2024,5,,Australia,IT Services,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,bianlian
GRTC Transit System,18/2/2024,100,1536,United States,Transportation & Logistics,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
Neurobehavioral Medicine Consultants,30/4/2024,5,60,United States,Healthcare,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bianlian
TechNet Kronoberg AB,21/2/2024,1,278,Sweden,IT Services,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,bianlian
Image Craft,18/4/2024,30,1945.6,United States,IT Services,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,bianlian
"Keboda Technology Co., Ltd.",27/3/2024,300,1228.8,China,Manufacturing,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,bianlian
CK Associates,5/9/2024,12,,United States,Environmental Services,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,bianlian
HRTec Inc,2/3/2024,5,,United States,Media,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
defi SOLUTIONS.,5/6/2024,126,,United States,IT Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Northern Minerals Limited,2/6/2024,N/A,,Australia,Construction,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,bianlian
"Cole, Cole, Easley & Sciba",28/2/2024,5,1536,United States,Law,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,bianlian
MA Engineering,9/2/2024,6,94,United States,Manufacturing,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
"Western Supplies, Inc",3/9/2024,7,,United States,Retail,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,bianlian
Studio Legale Associato Isolabella,4/9/2024,5,1331.2,Italy,Law,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,bianlian
"Smart Source, Inc.",9/9/2024,80,,United States,IT Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Marchassociates,20/2/2024,20,,United States,Construction,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,bianlian
MEL aviation Ltd,2/7/2024,28,4300.8,United Kingdom,Manufacturing,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,bianlian
"Chaney, Couch, Callaway, Carter & Associates Family Dentistry.",2/2/2024,5,245,United States,Healthcare,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Clinica de Salud del Valle de Salinas,20/6/2024,27,1740.8,United States,Healthcare,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,bianlian
Central Carolina Insurance Agency Inc.,13/6/2024,6,,United States,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,bianlian
Len Dubois Trucking,9/6/2024,26,,Canada,Transportation & Logistics,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,bianlian
Texas Alcohol & Drug Testing Service,16/8/2024,6,218,United States,Healthcare,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,bianlian
Lieberman LLP,1/4/2024,5,150,United States,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
The Wiser Financial Group,19/2/2024,6,300,United States,Finance,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,bianlian
National Publisher Services LLC,25/6/2024,7.8,715,United States,Media,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,bianlian
"Mayer Antonellis Jachowicz & Haranas, LLP",15/3/2024,5,170,United States,Law,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bianlian
MAH Machine,20/6/2024,20,227,United States,Manufacturing,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,bianlian
Eric Rossi CPA LLC,30/8/2024,5,910,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,bianlian
Southwest Family Medicine Associates,12/8/2024,5,,United States,Healthcare,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,bianlian
Optometric Physicians of Middle Tennessee,20/5/2024,5,1536,United States,Healthcare,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,bianlian
Texas Retina Associates,15/6/2024,34.6,,United States,Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Delta Pipeline,6/6/2024,15,,United States,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
"Hypertension Nephrology Associates, P.C.",27/2/2024,5,506,United States,Healthcare,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,bianlian
"Robert D. Clements Jr Law Group, LLLP",12/2/2024,2,200,United States,Law,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,bianlian
First Professional Services,7/3/2024,5,755,United States,Healthcare,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Ladov Law Firm,10/9/2024,5,105,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,bianlian
North Star Tax And Accounting,18/1/2024,6,480,United States,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
Medall Healthcare Pvt Ltd.,27/3/2024,53.3,1536,India,Healthcare,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,bianlian
New York Home Healthcare,7/3/2024,8,,United States,Healthcare,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,bianlian
"Wind Composite Services Group, LLC",25/6/2024,20,412,United States,Energy,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,bianlian
JE Owens & Company PA.,18/4/2024,5,,United States,Energy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,bianlian
ICWI,29/8/2024,46,,Jamaica,Finance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,bianlian
gocco,18/2/2024,937.9,136,Spain,Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
XINDAO,22/4/2024,50.5,1024,Netherlands,Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cactus
RENYPICOT,20/3/2024,911.7,350,Spain,Food & Beverage,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,cactus
KELSON,28/3/2024,61.8,1536,Canada,Industrial Machinery & Equipment,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
FLODRAULIC,15/9/2024,58.4,32,United States,Industrial Machinery & Equipment,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,cactus
HYDMECH,10/7/2024,47.2,980,Canada,Industrial Machinery & Equipment,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,cactus
