company name,date,country,revenue,industry,data volume,data description
Legrand CRM,2024-06-15 22:59:04,au,7000000,,157147358880,All Data
CLARK Material Handling Company,2024-03-26 04:37:36,us,50000000,,28915027269,All Data
Covenant Care,2023-12-11 22:35:43,us,1200000000,,9677663,"April M Asher and Alice E Crestando, Samples 4, Samples 2, Samples 1, All data, Charlotte A Gabrielian"
"TCI Co., Ltd.",2023-11-13 18:46:47,tw,324000000,,1313084943,"All Data, Some data"
Anderson Oil & Gas,2024-08-07 17:56:47,us,,,164893952510,"Confidential, Contacts, Brokerage Statements, TAXES, All Data"
Sting AD,2024-03-20 03:32:49,bg,350000000,,668707060,"Alexander Georgiev, Accounting, IT Director's home XXX-videos, Mustafa Kichukov, Customer agreements, All Data, Dima Ubcheva"
Schuster Trucking Company,2024-03-16 15:12:17,us,68900000,,161049892740,All Data
Priefert,2024-07-29 22:00:04,us,240000000,,3926335471,"Finance, All Data, Confidential, Personal information"
Communication Federal Credit Union,2024-02-14 01:00:02,us,49300000,,77918453672,"Sample, All Data"
Kreyenhop & Kluge,2024-03-16 15:13:52,de,7100000,,438921792130,"Voicemail messages, Audits, All Data"
NanoLumens,2024-04-13 18:11:55,us,18000000,,133624735648,All Data
T A Khoury,2024-04-09 21:30:32,au,5000000,,63703104570,Client Files
Sindicato de Enfermería (SATSE),2024-03-16 15:12:50,es,40700000,,179034548090,All Data
AGL,2024-03-19 03:57:25,cn,,,Undisclosed,
Benetton Group,2024-04-04 02:07:00,it,1300000000,,33770496,"All Data, Clients"
United Africa Group Ltd.,2023-11-06 22:26:55,na,,,170568360364,"Hilton Hotel Windhoek, All Data"
Jack Doheny Company,2024-04-14 22:27:44,us,67000000,,572709436357,"HR, Sales, Accounting, All Data"
Aftrp,2024-02-17 16:53:19,fr,16000000,,653842424983,All Data
Owens Group,2023-11-13 02:54:48,gb,293900000,,Undisclosed,
Bartec Top Holding GmbH,2023-11-11 03:13:13,de,407400000,,1412467336587,All data
PSI,2024-02-17 14:33:51,us,584000000,,88039724371,All Data
"Garr Silpe, P.C.",2023-11-10 03:23:49,us,5000000,,343646026120,"Client case files, All Data"
Rinehart Butler Hodge Moss & Bryant,2024-09-03 04:48:52,us,5000000,,61031073433,"Closed cases, Clients of your partners firm, All data, Current cases"
Intersport,2024-04-04 02:06:29,fr,3400000000,,40068019,"All Data, Passports"
Chicony Electronics,2024-05-01 01:57:13,tw,3300000000,,4822435231,"GoPro Development, Samsung, Dell, Lenovo, All Data, Blueprints + Drawings (.DWG files), Hewlett Packard, Project list and budget, Bosch, Contracts, Bosch Halo Mini, Confidential, 2024 Annual Plan, SpaceX, Google, 3 years strategy plan, Sony"
Khandelwal Laboratories Pvt,2024-08-03 04:09:25,in,537000000,,126461379471,"Researches, Customers, Passports, All Data"
DrilMaco,2023-11-13 02:01:36,sg,5000000,,95401260042,All Data
Ferraro Group,2024-08-19 14:54:56,it,17500000,,210018922035,ALL DATA
Miki Travel,2024-03-16 15:20:55,gb,592400000,,31185023278,"Boarding pass, All Data, Invoices, Personal documents, Contracts, Financial information"
Dalmahoy Hotel & Country Club,2024-02-11 03:13:21,gb,13000000,,949441048681,All Data
Seamon Whiteside,2024-07-19 04:58:28,us,18000000,,82653664016,"Finance, All Data, Personal Identifiable Information"
Concrete,2024-06-12 23:15:43,ca,5000000,,Undisclosed,
Omni Family Health,2024-08-07 03:10:01,us,23300000,,102794686367,"Medical, Insurance, SQL, Employee data, Accounting, All Data, Government, HR"
Interface,2024-04-04 02:07:15,us,1300000000,,18090372,"Technology, Confidential Agreements, All Data, Strategy"
